"gvkey","datadate","be1","op1","op2","at","at_lag1","in"
2675,"2020-12-31 00:00:00.000",2042.38,368.966,0.180654922198611,3860.205,3514.035,1.09851068643312
2696,"2020-12-31 00:00:00.000",27922,6298,0.225556908530908,44804,43784,1.02329618125343
2698,"2020-12-31 00:00:00.000",10985,3544,0.322621756941284,23640,22367,1.05691420396119
2703,"2020-12-31 00:00:00.000",4621.1,1974.6,0.427300859102811,20377.1,19518.3,1.04399973358336
2710,"2020-02-29 00:00:00.000",12515.8,2557.7,0.204357691877467,27323.2,NA,NA
2721,"2020-12-31 00:00:00.000",25134.939,3233.928,0.128662655596658,44320.321,43875.839,1.01013045015504
2735,"2020-12-31 00:00:00.000",7.416,2.802,0.377831715210356,8.679,8.599,1.00930340737295
2751,"2020-06-30 00:00:00.000",3047,2334,0.765999343616672,40766,40963,0.995190781925152
2771,"2020-12-31 00:00:00.000",2711.6,661.6,0.243988788906918,5866.4,5496,1.06739446870451
2777,"2020-12-31 00:00:00.000",3.434,-0.638,-0.185789167152009,3.458,3.382,1.02247191011236
2783,"2020-12-31 00:00:00.000",20633,2822,0.136771191780158,58624,57694,1.01611952716054
2787,"2020-06-30 00:00:00.000",1575.9,252.8,0.160416270067898,3227.2,3187.8,1.01235962105527
2807,"2020-04-30 00:00:00.000",2078.803,587.104,0.282424068081487,3943.892,3731.376,1.05695378862918
2811,"2020-12-31 00:00:00.000",NA,-33.147,NA,289.597,330.326,0.87670059274777
2817,"2020-12-31 00:00:00.000",15749,7224,0.458695790208902,78324,78453,0.998355703414783
2818,"2020-01-31 00:00:00.000",316.514,52.627,0.166270686288758,684.976,497.906,1.37571348808811
2820,"2020-03-31 00:00:00.000",614.881,94.1949999999998,0.15319224370244,810.431,725.216,1.117502923267
2829,"2020-10-31 00:00:00.000",32.064,0.653999999999998,0.0203967065868263,40.822,37.7,1.08281167108753
2849,"2020-12-31 00:00:00.000",11432.389,1146.834,0.100314466206495,102756.203,93603.347,1.09778342648367
2884,"2020-12-31 00:00:00.000",14504,6978,0.481108659680088,59394,64742,0.917395199406877
2940,"2020-12-31 00:00:00.000",1877.074,90.6260000000002,0.0482804620382575,3359.855,3092.173,1.08656760148931
2942,"2020-07-31 00:00:00.000",779.132,123.162,0.158075910115359,2071.754,1070.366,1.93555662268794
2960,"2020-12-31 00:00:00.000",921.864,368.813,0.400073112736803,1434.911,1268.317,1.13135044314631
2968,"2020-12-31 00:00:00.000",249291,62626,0.25121644985178,3386071,2687379,1.25999012420652
2986,"2020-12-31 00:00:00.000",902.473,155.07,0.171827855237774,1932.487,1783.198,1.08371981126044
2990,"2020-12-31 00:00:00.000",18.611,-19.422,-1.04357637956047,37.527,38.278,0.980380375150217
2991,"2020-12-31 00:00:00.000",144257,13691,0.0949070062457974,239790,237428,1.00994827905723
2999,"2020-12-31 00:00:00.000",29.717,1.263,0.0425009253962379,31.238,31.723,0.984711408126596
3007,"2020-06-30 00:00:00.000",NA,186.6,NA,2356,1258.3,1.87236747993324
3026,"2020-12-31 00:00:00.000",3727.7,1037.8,0.278402231939266,7414.5,6657.4,1.11372307507435
3028,"2020-12-31 00:00:00.000",581,91.6,0.157659208261618,2686.4,2551,1.0530772246178
3036,"2020-12-31 00:00:00.000",NA,284.2,NA,2668.6,2653.8,1.00557690858392
3039,"2020-12-31 00:00:00.000",4916,531,0.108014646053702,10025,9338,1.0735703576783
3062,"2020-05-31 00:00:00.000",3623.781,1326.928,0.366172238333387,7669.885,7436.662,1.03136124782866
3105,"2020-12-31 00:00:00.000",1598.944,71.6559999999998,0.0448145776212299,9202.961,11021.099,0.835031152519363
3107,"2020-12-31 00:00:00.000",2063,127,0.0615608337372758,16771,3503.8,4.78651749529083
3121,"2020-06-30 00:00:00.000",970,1342,1.38350515463918,6213,5116,1.21442533229085
3138,"2020-12-31 00:00:00.000",652.413,463.133,0.709877025749027,3222.45,3126.926,1.03054885213145
3144,"2020-12-31 00:00:00.000",21132,10406,0.492428544387659,87296,86381,1.01059260717056
3153,"2020-12-31 00:00:00.000",727.681,224.544,0.308574773836338,1403.977,1378.636,1.01838121157434
3157,"2020-09-30 00:00:00.000",942.945,78.017,0.0827375933909189,1827.496,2083.169,0.877267278842955
3158,"2020-12-31 00:00:00.000",541.104,62.0369999999999,0.114648939945001,1090.346,1077.71,1.01172486104796
3170,"2020-12-31 00:00:00.000",1169,4289,3.66894781864842,15920,15034,1.05893308500732
3184,"2020-12-31 00:00:00.000",15.123,1.65600000000001,0.109502082920056,37.63,35.869,1.04909531907776
3198,"2020-12-31 00:00:00.000",821,215,0.261875761266748,1562,1595,0.979310344827586
3203,"2020-08-31 00:00:00.000",302.792,61.521,0.203179080028534,346.83,307.968,1.12618843516209
3221,"2020-12-31 00:00:00.000",3757,2998,0.797977109395794,32114,29405,1.09212718925353
3226,"2020-12-31 00:00:00.000",118374,26598,0.224694611992498,273869,263414,1.03969037332868
3231,"2020-12-31 00:00:00.000",7656,1151,0.15033960292581,88129,73402,1.20063486008556
3238,"2020-12-31 00:00:00.000",3397.047,631.085,0.185774585986005,32922.974,26065.789,1.26307222083322
3243,"2020-12-31 00:00:00.000",179962,17569,0.0976261655238328,2260090,1951158,1.15833264143652
3246,"2020-08-31 00:00:00.000",2020.011,575.548,0.284923200913262,4081.728,3758.771,1.08592090340167
3275,"2020-12-31 00:00:00.000",47.495,-1.05,-0.0221075902726602,55.556,59.151,0.939223343645923
3278,"2020-12-31 00:00:00.000",1228,709,0.577361563517915,17538,23126,0.758367205742454
3288,"2019-12-31 00:00:00.000",NA,-3.367,NA,1.188,0.879,1.35153583617747
3336,"2020-03-31 00:00:00.000",5503,2561,0.465382518626204,26006,29574,0.879353486170285
3342,"2020-12-31 00:00:00.000",81.682,14.639,0.179219411865527,176.253,158.706,1.11056292767759
3358,"2020-07-31 00:00:00.000",566.936,62.474,0.110195859850142,929.647,887.711,1.04724059969968
3362,"2020-05-31 00:00:00.000",7876.1,1697.7,0.215550843691675,22304,22213.8,1.00406053894426
3369,"2020-06-30 00:00:00.000",0.503,0.887,1.76341948310139,9.705,10.426,0.930845962018032
3382,"2020-12-31 00:00:00.000",421.925,126.625,0.300112579249867,729.644,630.512,1.15722460476565
3392,"2020-12-31 00:00:00.000",6453.129,900.971,0.139617695539637,13455.974,12185.191,1.10428913260367
3410,"2020-12-31 00:00:00.000",341.807,-12.119,-0.0354556811299944,879.082,865.918,1.01520236327227
3413,"2020-12-31 00:00:00.000",25322,3541,0.139838875286312,62895,58079,1.08292153790527
3424,"2020-12-31 00:00:00.000",606.174,44.558,0.0735069468502443,1017.968,1139.309,0.89349596992563
3429,"2020-12-31 00:00:00.000",354.42,11.523,0.0325122735737261,665.931,703.286,0.94688505103187
3439,"2020-12-31 00:00:00.000",7474,1858,0.248595129783249,29666,26837,1.10541416700823
3465,"2019-12-31 00:00:00.000",35.189,-6.215,-0.176617693029072,89.983,75.703,1.18863189041385
3469,"2020-12-31 00:00:00.000",7676.6,1139.836,0.148481879998958,14633.098,15727.907,0.930390674359913
3502,"2020-12-31 00:00:00.000",1390.368,376.592,0.270857787290847,2971.573,2802.338,1.0603906452398
3504,"2020-10-31 00:00:00.000",3850.4,681.8,0.177072511946811,6737.5,6274.5,1.07379074029803
3505,"2020-12-31 00:00:00.000",14746.6,1916.6,0.129968941993409,27331.1,28859.8,0.947030124948891
3516,"2020-06-30 00:00:00.000",175.212,46.19,0.263623496107573,234.382,218.331,1.07351681621025
3532,"2020-12-31 00:00:00.000",11270,2618,0.232298136645963,30775,28898,1.06495259187487
3533,"2020-09-30 00:00:00.000",43.51,7.279,0.167294874741439,136.459,118.609,1.150494481869
3562,"2020-12-31 00:00:00.000",4467.134,88.326,0.0197724088867717,7107.398,7151.447,0.993840547234706
3570,"2020-07-31 00:00:00.000",446.107,165.134,0.37016679854833,2544.258,1581.225,1.60904235640089
3580,"2020-12-31 00:00:00.000",1582.5,378.4,0.23911532385466,4588.9,4423.7,1.03734430454145
3581,"2020-12-31 00:00:00.000",188.534,78.0470000000001,0.413967772391187,752.984,760.013,0.990751473987945
3591,"2020-12-31 00:00:00.000",3440,1280,0.372093023255814,22471,22816,0.984879032258065
3592,"2020-12-31 00:00:00.000",3441,1291,0.375181633246149,22471,22817,0.984835867993163
3619,"2020-12-31 00:00:00.000",2591,1479,0.570822076418371,16670,15505,1.07513705256369
3622,"2020-03-31 00:00:00.000",42.436,9.306,0.219294938259968,57.173,54.779,1.04370287884043
3639,"2020-09-30 00:00:00.000",966.964,149.945,0.155067820518654,2324.221,1847.17,1.2582604741307
